"Date.and.Time","PM.sub.10..sub.","PM.sub.2.5..sub.","Location"
"01-07-2022 00:00",5.04,2.7,"Local Air 3: Sonitus HQ"
"02-07-2022 00:00",5.99,3.48,"Local Air 3: Sonitus HQ"
"03-07-2022 00:00",4.68,2.71,"Local Air 3: Sonitus HQ"
"04-07-2022 00:00",5.85,3.41,"Local Air 3: Sonitus HQ"
"05-07-2022 00:00",5.57,3.26,"Local Air 3: Sonitus HQ"
"06-07-2022 00:00",6.61,3.47,"Local Air 3: Sonitus HQ"
"07-07-2022 00:00",8.87,2.8,"Local Air 3: Sonitus HQ"
"08-07-2022 00:00",5.28,2.26,"Local Air 3: Sonitus HQ"
"09-07-2022 00:00",5.53,2.2,"Local Air 3: Sonitus HQ"
"10-07-2022 00:00",4.81,2.58,"Local Air 3: Sonitus HQ"
"11-07-2022 00:00",12.35,4.04,"Local Air 3: Sonitus HQ"
"12-07-2022 00:00",8.79,3.37,"Local Air 3: Sonitus HQ"
"13-07-2022 00:00",9.31,4.58,"Local Air 3: Sonitus HQ"
"14-07-2022 00:00",12.17,6.48,"Local Air 3: Sonitus HQ"
"15-07-2022 00:00",8.09,3.96,"Local Air 3: Sonitus HQ"
"16-07-2022 00:00",11.73,5.35,"Local Air 3: Sonitus HQ"
"17-07-2022 00:00",12.06,5.17,"Local Air 3: Sonitus HQ"
"18-07-2022 00:00",18.02,7.09,"Local Air 3: Sonitus HQ"
"19-07-2022 00:00",16.34,5.72,"Local Air 3: Sonitus HQ"
"20-07-2022 00:00",6.84,2.9,"Local Air 3: Sonitus HQ"
"21-07-2022 00:00",10.09,5.46,"Local Air 3: Sonitus HQ"
"22-07-2022 00:00",9.2,4.57,"Local Air 3: Sonitus HQ"
"23-07-2022 00:00",4.75,2.59,"Local Air 3: Sonitus HQ"
"24-07-2022 00:00",6.39,4.5,"Local Air 3: Sonitus HQ"
"25-07-2022 00:00",6.63,2.92,"Local Air 3: Sonitus HQ"
"26-07-2022 00:00",7.12,3.15,"Local Air 3: Sonitus HQ"
"27-07-2022 00:00",6.86,3.49,"Local Air 3: Sonitus HQ"
"28-07-2022 00:00",7.37,3.6,"Local Air 3: Sonitus HQ"
"29-07-2022 00:00",9.28,4.31,"Local Air 3: Sonitus HQ"
"30-07-2022 00:00",3.53,1.84,"Local Air 3: Sonitus HQ"
"31-07-2022 00:00",4.6,2.35,"Local Air 3: Sonitus HQ"
"01-07-2022 00:00",0.24,0.21,"Local Air 4: Custom House Quay"
"02-07-2022 00:00",0.24,0.24,"Local Air 4: Custom House Quay"
"03-07-2022 00:00",0.12,0.15,"Local Air 4: Custom House Quay"
"04-07-2022 00:00",0.13,0.17,"Local Air 4: Custom House Quay"
"05-07-2022 00:00",0.13,0.16,"Local Air 4: Custom House Quay"
"06-07-2022 00:00",0.13,0.17,"Local Air 4: Custom House Quay"
"07-07-2022 00:00",0.12,0.14,"Local Air 4: Custom House Quay"
"08-07-2022 00:00",0.05,0.11,"Local Air 4: Custom House Quay"
"09-07-2022 00:00",0.06,0.11,"Local Air 4: Custom House Quay"
"10-07-2022 00:00",0.06,0.12,"Local Air 4: Custom House Quay"
"11-07-2022 00:00",0.08,0.11,"Local Air 4: Custom House Quay"
"12-07-2022 00:00",0.02,0.08,"Local Air 4: Custom House Quay"
"13-07-2022 00:00",0.01,0.07,"Local Air 4: Custom House Quay"
"14-07-2022 00:00",0.02,0.09,"Local Air 4: Custom House Quay"
"15-07-2022 00:00",0.02,0.08,"Local Air 4: Custom House Quay"
"16-07-2022 00:00",0.06,0.12,"Local Air 4: Custom House Quay"
"17-07-2022 00:00",0.05,0.11,"Local Air 4: Custom House Quay"
"18-07-2022 00:00",0.05,0.11,"Local Air 4: Custom House Quay"
"19-07-2022 00:00",0.02,0.09,"Local Air 4: Custom House Quay"
"20-07-2022 00:00",NA,0.03,"Local Air 4: Custom House Quay"
"21-07-2022 00:00",NA,0.05,"Local Air 4: Custom House Quay"
"22-07-2022 00:00",NA,0.04,"Local Air 4: Custom House Quay"
"23-07-2022 00:00",NA,0.03,"Local Air 4: Custom House Quay"
"24-07-2022 00:00",NA,0.07,"Local Air 4: Custom House Quay"
"25-07-2022 00:00",NA,0.05,"Local Air 4: Custom House Quay"
"26-07-2022 00:00",0.01,0.05,"Local Air 4: Custom House Quay"
"27-07-2022 00:00",0.01,0.06,"Local Air 4: Custom House Quay"
"28-07-2022 00:00",NA,0.05,"Local Air 4: Custom House Quay"
